CB, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17
0, 0, 4.0, 4.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0, 6.0
1, 4.0, 0, 9.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0, 4.0
2, 4.0, 9.0, 0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0, 7.0
3, 6.0, 4.0, 7.0, 0, 13.0, 13.0, 16.0, 15.0, 15.0, 15.0, 12.0, 12.0, 15.0, 15.0, 15.0, 12.0, 12.0, 15.0
4, 6.0, 4.0, 7.0, 13.0, 0, 18.0, 13.0, 14.0, 16.0, 13.0, 15.0, 16.0, 13.0, 13.0, 16.0, 15.0, 15.0, 13.0
5, 6.0, 4.0, 7.0, 13.0, 18.0, 0, 13.0, 13.0, 13.0, 16.0, 16.0, 15.0, 13.0, 13.0, 13.0, 15.0, 15.0, 14.0
6, 6.0, 4.0, 7.0, 16.0, 13.0, 13.0, 0, 18.0, 16.0, 15.0, 13.0, 13.0, 18.0, 19.0, 15.0, 13.0, 13.0, 18.0
7, 6.0, 4.0, 7.0, 15.0, 14.0, 13.0, 18.0, 0, 16.0, 15.0, 13.0, 16.0, 19.0, 18.0, 16.0, 13.0, 14.0, 18.0
8, 6.0, 4.0, 7.0, 15.0, 16.0, 13.0, 16.0, 16.0, 0, 15.0, 12.0, 12.0, 16.0, 16.0, 19.0, 12.0, 12.0, 16.0
9, 6.0, 4.0, 7.0, 15.0, 13.0, 16.0, 15.0, 15.0, 15.0, 0, 12.0, 12.0, 15.0, 15.0, 15.0, 12.0, 12.0, 17.0
10, 6.0, 4.0, 7.0, 12.0, 15.0, 16.0, 13.0, 13.0, 12.0, 12.0, 0, 15.0, 13.0, 13.0, 12.0, 16.0, 15.0, 16.0
11, 6.0, 4.0, 7.0, 12.0, 16.0, 15.0, 13.0, 16.0, 12.0, 12.0, 15.0, 0, 14.0, 13.0, 12.0, 15.0, 16.0, 13.0
12, 6.0, 4.0, 7.0, 15.0, 13.0, 13.0, 18.0, 19.0, 16.0, 15.0, 13.0, 14.0, 0, 21.0, 15.0, 16.0, 19.0, 19.0
13, 6.0, 4.0, 7.0, 15.0, 13.0, 13.0, 19.0, 18.0, 16.0, 15.0, 13.0, 13.0, 21.0, 0, 15.0, 16.0, 16.0, 19.0
14, 6.0, 4.0, 7.0, 15.0, 16.0, 13.0, 15.0, 16.0, 19.0, 15.0, 12.0, 12.0, 15.0, 15.0, 0, 12.0, 12.0, 15.0
15, 6.0, 4.0, 7.0, 12.0, 15.0, 15.0, 13.0, 13.0, 12.0, 12.0, 16.0, 15.0, 16.0, 16.0, 12.0, 0, 18.0, 14.0
16, 6.0, 4.0, 7.0, 12.0, 15.0, 15.0, 13.0, 14.0, 12.0, 12.0, 15.0, 16.0, 19.0, 16.0, 12.0, 18.0, 0, 14.0
17, 6.0, 4.0, 7.0, 15.0, 13.0, 14.0, 18.0, 18.0, 16.0, 17.0, 16.0, 13.0, 19.0, 19.0, 15.0, 14.0, 14.0, 0