CB, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20
0, 0, 1.0, 1.0, 1.0, 2.0, 2.0, 2.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 2.0, 3.0, 3.0, 4.0, 4.0, 3.0, 4.0
1, 1.0, 0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0, 4.0, 3.0, 3.0, 3.0, 4.0, 4.0, 3.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0
2, 1.0, 1.0, 0, 1.0, 1.0, 2.0, 2.0, 3.0, 4.0, 3.0, 3.0, 4.0, 4.0, 4.0, 3.0, 3.0, 3.0, 4.0, 4.0, 3.0, 4.0
3, 1.0, 1.0, 1.0, 0, 2.0, 1.0, 2.0, 3.0, 4.0, 2.0, 2.0, 4.0, 3.0, 3.0, 3.0, 3.0, 3.0, 4.0, 4.0, 3.0, 4.0
4, 2.0, 2.0, 1.0, 2.0, 0, 1.0, 1.0, 2.0, 5.0, 2.0, 2.0, 3.0, 3.0, 3.0, 4.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0
5, 2.0, 2.0, 2.0, 1.0, 1.0, 0, 1.0, 2.0, 5.0, 1.0, 1.0, 3.0, 2.0, 2.0, 4.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0
6, 2.0, 1.0, 2.0, 2.0, 1.0, 1.0, 0, 1.0, 5.0, 2.0, 2.0, 2.0, 3.0, 3.0, 4.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0
7, 3.0, 2.0, 3.0, 3.0, 2.0, 2.0, 1.0, 0, 6.0, 2.0, 2.0, 1.0, 3.0, 3.0, 5.0, 1.0, 1.0, 2.0, 2.0, 1.0, 2.0
8, 3.0, 4.0, 4.0, 4.0, 5.0, 5.0, 5.0, 6.0, 0, 6.0, 6.0, 7.0, 7.0, 7.0, 1.0, 6.0, 6.0, 7.0, 7.0, 6.0, 7.0
9, 3.0, 3.0, 3.0, 2.0, 2.0, 1.0, 2.0, 2.0, 6.0, 0, 1.0, 3.0, 2.0, 1.0, 5.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0
10, 3.0, 3.0, 3.0, 2.0, 2.0, 1.0, 2.0, 2.0, 6.0, 1.0, 0, 3.0, 1.0, 2.0, 5.0, 2.0, 2.0, 3.0, 3.0, 2.0, 3.0
11, 4.0, 3.0, 4.0, 4.0, 3.0, 3.0, 2.0, 1.0, 7.0, 3.0, 3.0, 0, 2.0, 2.0, 6.0, 2.0, 2.0, 1.0, 1.0, 2.0, 1.0
12, 4.0, 4.0, 4.0, 3.0, 3.0, 2.0, 3.0, 3.0, 7.0, 2.0, 1.0, 2.0, 0, 1.0, 6.0, 3.0, 3.0, 2.0, 2.0, 3.0, 2.0
13, 4.0, 4.0, 4.0, 3.0, 3.0, 2.0, 3.0, 3.0, 7.0, 1.0, 2.0, 2.0, 1.0, 0, 6.0, 3.0, 3.0, 2.0, 2.0, 3.0, 2.0
14, 2.0, 3.0, 3.0, 3.0, 4.0, 4.0, 4.0, 5.0, 1.0, 5.0, 5.0, 6.0, 6.0, 6.0, 0, 5.0, 5.0, 6.0, 6.0, 5.0, 6.0
15, 3.0, 2.0, 3.0, 3.0, 2.0, 2.0, 1.0, 1.0, 6.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0, 0, 1.0, 1.0, 2.0, 1.0, 2.0
16, 3.0, 2.0, 3.0, 3.0, 2.0, 2.0, 1.0, 1.0, 6.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0, 1.0, 0, 2.0, 1.0, 1.0, 2.0
17, 4.0, 3.0, 4.0, 4.0, 3.0, 3.0, 2.0, 2.0, 7.0, 3.0, 3.0, 1.0, 2.0, 2.0, 6.0, 1.0, 2.0, 0, 1.0, 2.0, 1.0
18, 4.0, 3.0, 4.0, 4.0, 3.0, 3.0, 2.0, 2.0, 7.0, 3.0, 3.0, 1.0, 2.0, 2.0, 6.0, 2.0, 1.0, 1.0, 0, 2.0, 1.0
19, 3.0, 2.0, 3.0, 3.0, 2.0, 2.0, 1.0, 1.0, 6.0, 2.0, 2.0, 2.0, 3.0, 3.0, 5.0, 1.0, 1.0, 2.0, 2.0, 0, 1.0
20, 4.0, 3.0, 4.0, 4.0, 3.0, 3.0, 2.0, 2.0, 7.0, 3.0, 3.0, 1.0, 2.0, 2.0, 6.0, 2.0, 2.0, 1.0, 1.0, 1.0, 0